domain	allow_requirement	refresh_requirement	cidr_bits	reason
cli.github.com	optional	-	32	gh CLI package metadata/download host
registry.npmjs.org	required	-	32	npm registry for npm/pnpm/corepack package manager assets
npm.jsr.io	optional	-	32	JSR registry support used by modern pnpm/npm workflows
repo.yarnpkg.com	optional	-	32	Yarn modern releases (yarn set version / corepack flows)
api.anthropic.com	required	-	32	Claude Code API
sentry.io	optional	-	32	error reporting used by some CLIs
statsig.anthropic.com	optional	-	32	Claude feature flag/telemetry endpoint
statsig.com	optional	-	32	Claude feature flag/telemetry backend
marketplace.visualstudio.com	optional	-	32	VS Code extension marketplace
vscode.blob.core.windows.net	optional	-	32	VS Code extension asset blobs
update.code.visualstudio.com	optional	-	32	VS Code update checks
api.openai.com	required	-	32	OpenAI API
auth.openai.com	required	-	32	OpenAI auth handoffs
chatgpt.com	required	-	32	Codex responses endpoint under chatgpt.com/backend-api/...
chat.openai.com	optional	-	32	legacy ChatGPT host used by some auth/browser flows
openai.com	optional	-	32	OpenAI web redirects and auth support
opencode.ai	required	-	24	OpenCode Zen API/auth endpoint (allow /24 due edge IP churn)
api.z.ai	required	-	24	Z.AI Coding Plan provider API endpoint (allow /24 due edge IP churn)
z.ai	optional	-	32	Z.AI API console and account management
generativelanguage.googleapis.com	required	required	32	Gemini API
accounts.google.com	required	required	32	Google account auth
oauth2.googleapis.com	required	required	32	OAuth token exchange for Gemini CLI
play.googleapis.com	optional	optional	32	Google API backend dependencies
aiplatform.googleapis.com	optional	optional	32	Vertex AI endpoint (if Gemini CLI uses Vertex mode)
cloudcode-pa.googleapis.com	optional	optional	32	Google developer tooling backend
iamcredentials.googleapis.com	optional	optional	32	GCP service-account token exchange
mcp.grep.app	required	-	24	grep MCP server (allow /24 due edge IP churn)
mcp.context7.com	required	-	24	Context7 MCP server (allow /24 due edge IP churn)
accounts.context7.com	optional	-	32	Context7 auth/session endpoints
mcp.exa.ai	required	-	24	Exa MCP server (allow /24 due edge IP churn)
auth.exa.ai	optional	-	32	Exa auth endpoints
accounts.exa.ai	optional	-	32	Exa account endpoints
raw.githubusercontent.com	optional	-	32	beads/beads_viewer installer scripts
mise.run	optional	-	32	mise bootstrap install script
getmic.ro	optional	-	32	micro editor installer script
deb.debian.org	optional	-	32	Debian apt repositories for optional gear installs
security.debian.org	optional	-	32	Debian security apt repository for optional gear installs
cdn.playwright.dev	optional	optional	16	Playwright browser download CDN
playwright.download.prss.microsoft.com	optional	optional	16	Playwright browser download fallback CDN
storage.googleapis.com	optional	optional	16	Playwright Chromium CFT redirected download host
nodejs.org	optional	-	32	mise node backend official Node.js binary downloads
unofficial-builds.nodejs.org	optional	-	32	optional Node unofficial builds via mise node.mirror_url
pypi.org	optional	-	32	uv/pip Python package index
files.pythonhosted.org	optional	-	32	Python package file downloads
astral.sh	optional	-	32	uv installer and release bootstrap endpoint
go.dev	optional	-	32	Go version metadata and release index
dl.google.com	optional	-	32	Go toolchain tarballs used by go/mise installs
proxy.golang.org	optional	-	32	Go module proxy used by go command
sum.golang.org	optional	-	32	Go checksum database used by go command
rustup.rs	optional	-	32	rustup installer landing host
sh.rustup.rs	optional	-	32	rustup shell installer script
static.rust-lang.org	optional	-	32	Rust toolchain/dist downloads
crates.io	optional	-	32	Rust crate registry API
index.crates.io	optional	-	32	Rust sparse index
static.crates.io	optional	-	32	Rust crate tarball downloads
mise-versions.jdx.dev	optional	-	32	mise tool version metadata
